Прибор: ;Hydra-L (02); ; Интервал: ;2024-06-20 00:00:00; / ;2024-06-20 23:45:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2024-06-20 05:57:28;28.16;740.03;41.96;
2024-06-20 05:58:29;28.13;740.02;41.99;
2024-06-20 05:59:29;28.12;739.98;42.01;
2024-06-20 06:00:29;28.14;739.99;42.01;
2024-06-20 06:01:29;28.15;739.95;42.01;
2024-06-20 06:02:29;28.14;739.92;42.02;
2024-06-20 06:03:29;28.15;739.9;42.03;
2024-06-20 06:04:29;28.15;739.9;42.02;
2024-06-20 06:05:29;28.14;739.91;42.04;
2024-06-20 06:06:29;28.15;739.87;42.05;
2024-06-20 06:07:29;28.16;739.88;42.06;
2024-06-20 06:08:29;28.15;739.85;42.06;
2024-06-20 06:09:30;28.16;739.85;42.05;
2024-06-20 06:10:31;28.17;739.88;42.01;
2024-06-20 06:11:29;28.13;739.91;42.1;
2024-06-20 06:12:29;28.16;739.96;42.05;
2024-06-20 06:13:30;28.14;739.99;42.08;
2024-06-20 06:14:29;28.15;740.03;42.07;
2024-06-20 06:15:29;28.15;740.03;42.07;
2024-06-20 06:16:29;28.17;740.05;42.02;
2024-06-20 06:17:29;28.16;740.02;42.05;
2024-06-20 06:18:30;28.16;740.01;42.05;
2024-06-20 06:19:30;28.15;740;42.08;
2024-06-20 06:20:30;28.15;739.98;42.08;
2024-06-20 06:21:30;28.16;739.99;42.07;
2024-06-20 06:22:30;28.15;739.95;42.1;
2024-06-20 06:23:30;28.15;739.93;42.09;
2024-06-20 06:24:30;28.15;739.89;42.08;
2024-06-20 06:25:30;28.16;739.86;42.1;
2024-06-20 06:26:30;28.16;739.85;42.08;
2024-06-20 06:27:30;28.16;739.81;42.08;
2024-06-20 06:28:30;28.15;739.83;42.13;
2024-06-20 06:29:30;28.15;739.81;42.1;
2024-06-20 06:30:31;28.13;739.77;42.14;
2024-06-20 06:31:31;28.16;739.71;42.08;
2024-06-20 06:32:30;28.16;739.68;42.09;
2024-06-20 06:33:30;28.16;739.6;42.09;
2024-06-20 06:34:31;28.17;739.56;42.09;
2024-06-20 06:35:31;28.15;739.53;42.15;
2024-06-20 06:36:31;28.15;739.52;42.11;
2024-06-20 06:37:31;28.16;739.51;42.14;
2024-06-20 06:38:31;28.14;739.52;42.15;
2024-06-20 06:39:31;28.14;739.48;42.14;
2024-06-20 06:40:31;28.15;739.5;42.09;
2024-06-20 06:41:31;28.17;739.57;42.12;
2024-06-20 06:42:31;28.17;739.58;42.11;
2024-06-20 06:43:31;28.16;739.63;42.13;
2024-06-20 06:44:31;28.18;739.66;42.11;
2024-06-20 06:45:31;28.17;739.67;42.13;
2024-06-20 06:46:31;28.17;739.65;42.12;
2024-06-20 06:47:31;28.19;739.66;42.08;
2024-06-20 06:48:32;28.2;739.65;42.04;
2024-06-20 06:49:31;28.18;739.6;42.11;
2024-06-20 06:50:32;28.16;739.58;42.13;
2024-06-20 06:51:31;28.18;739.55;42.09;
2024-06-20 06:52:32;28.18;739.58;42.05;
2024-06-20 06:53:32;28.2;739.58;42.07;
2024-06-20 06:54:32;28.19;739.57;42.06;
2024-06-20 06:55:32;28.19;739.56;42.11;
2024-06-20 06:56:32;28.18;739.53;42.11;
2024-06-20 06:57:32;28.18;739.51;42.11;
2024-06-20 06:58:32;28.19;739.49;42.08;
2024-06-20 06:59:32;28.19;739.47;41.98;
2024-06-20 07:00:32;28.19;739.48;42.05;
2024-06-20 07:01:32;28.18;739.5;42.06;
2024-06-20 07:02:32;28.2;739.49;42.05;
2024-06-20 07:03:32;28.21;739.5;42.03;
2024-06-20 07:04:33;28.2;739.42;42.04;
2024-06-20 07:05:33;28.2;739.34;42.08;
2024-06-20 07:06:33;28.2;739.27;42.07;
2024-06-20 07:07:33;28.2;739.25;42.07;
2024-06-20 07:08:33;28.2;739.23;42.12;
2024-06-20 07:09:33;28.22;739.2;42.05;
2024-06-20 07:10:33;28.21;739.18;42.06;
2024-06-20 07:11:33;28.22;739.19;42.04;
2024-06-20 07:12:35;28.22;739.18;42.09;
2024-06-20 07:13:35;28.24;739.21;42.08;
2024-06-20 07:14:33;28.2;739.2;42.1;
2024-06-20 07:15:33;28.21;739.22;42.12;
2024-06-20 07:16:33;28.22;739.24;42.13;
2024-06-20 07:17:34;28.22;739.27;42.13;
2024-06-20 07:18:34;28.21;739.28;42.16;
2024-06-20 07:19:34;28.19;739.34;42.18;
2024-06-20 07:20:34;28.21;739.38;42.13;
2024-06-20 07:21:34;28.19;739.38;42.2;
2024-06-20 07:22:34;28.21;739.38;42.18;
2024-06-20 07:23:34;28.2;739.4;42.22;
2024-06-20 07:24:34;28.2;739.34;42.17;
2024-06-20 07:25:34;28.23;739.3;42.15;
2024-06-20 07:26:34;28.21;739.24;42.18;
2024-06-20 07:27:34;28.19;739.24;42.21;
2024-06-20 07:28:35;28.2;739.23;42.19;
2024-06-20 07:29:35;28.21;739.21;42.19;
2024-06-20 07:30:35;28.21;739.22;42.23;
2024-06-20 07:31:35;28.21;739.2;42.24;
2024-06-20 07:32:36;28.19;739.17;42.25;
2024-06-20 07:33:37;28.23;739.13;42.25;
2024-06-20 07:34:37;28.2;739.17;42.24;
2024-06-20 07:35:36;28.2;739.15;42.21;
2024-06-20 07:36:35;28.22;739.12;42.27;
2024-06-20 07:37:35;28.2;739.12;42.25;
2024-06-20 07:38:35;28.21;739.14;42.24;
2024-06-20 07:39:35;28.2;739.14;42.22;
2024-06-20 07:40:35;28.2;739.18;42.32;
2024-06-20 07:41:35;28.24;739.16;42.2;
2024-06-20 07:42:36;28.21;739.15;42.31;
2024-06-20 07:43:35;28.21;739.19;42.28;
2024-06-20 07:44:35;28.2;739.16;42.28;
2024-06-20 07:45:35;28.19;739.13;42.3;
2024-06-20 07:46:35;28.2;739.13;42.29;
2024-06-20 07:47:36;28.18;739.14;42.32;
2024-06-20 07:48:36;28.19;739.13;42.32;
2024-06-20 07:49:37;28.21;739.16;42.31;
2024-06-20 07:50:36;28.2;739.18;42.32;
2024-06-20 07:51:36;28.22;739.2;42.32;
2024-06-20 07:52:36;28.22;739.21;42.33;
2024-06-20 07:53:36;28.2;739.14;42.36;
2024-06-20 07:54:36;28.19;739.11;42.39;
2024-06-20 07:55:36;28.2;739.01;42.36;
2024-06-20 07:56:37;28.21;739;42.33;
2024-06-20 07:57:38;28.18;738.95;42.38;
2024-06-20 07:58:38;28.21;738.95;42.33;
2024-06-20 07:59:36;28.19;738.97;42.34;
2024-06-20 08:00:36;28.2;738.97;42.34;
2024-06-20 08:01:37;28.21;738.92;42.34;
2024-06-20 08:02:37;28.21;738.87;42.35;
2024-06-20 08:03:37;28.19;738.86;42.37;
2024-06-20 08:04:37;28.19;738.81;42.36;
2024-06-20 08:05:37;28.2;738.8;42.35;
2024-06-20 08:06:37;28.19;738.78;42.37;
2024-06-20 08:07:37;28.2;738.76;42.39;
2024-06-20 08:08:38;28.21;738.75;42.35;
