Прибор: ;Hydra-L (02); ; Интервал: ;2024-03-25 00:00:00; / ;2024-03-25 23:45:00;
Date;weather_temp;weather_pressure;weather_humidity;
2024-03-25 00:00:34;25.92;732.6;23.52;
2024-03-25 00:01:34;25.92;732.63;23.52;
2024-03-25 00:02:34;25.9;732.65;23.54;
2024-03-25 00:03:34;25.91;732.63;23.53;
2024-03-25 00:04:34;25.9;732.6;23.53;
2024-03-25 00:05:35;25.92;732.6;23.52;
2024-03-25 00:06:34;25.9;732.56;23.53;
2024-03-25 00:07:35;25.9;732.53;23.53;
2024-03-25 00:08:35;25.89;732.53;23.55;
2024-03-25 00:09:36;25.92;732.53;23.52;
2024-03-25 00:10:36;25.91;732.55;23.52;
2024-03-25 00:11:35;25.91;732.54;23.52;
2024-03-25 00:12:35;25.91;732.51;23.52;
2024-03-25 00:13:37;25.91;732.52;23.52;
2024-03-25 00:14:36;25.91;732.53;23.53;
2024-03-25 00:15:36;25.91;732.55;23.53;
2024-03-25 00:16:35;25.9;732.55;23.54;
2024-03-25 00:17:35;25.89;732.56;23.55;
2024-03-25 00:18:35;25.89;732.59;23.55;
2024-03-25 00:19:35;25.89;732.59;23.55;
2024-03-25 00:20:35;25.9;732.61;23.55;
2024-03-25 00:21:35;25.9;732.6;23.54;
2024-03-25 00:22:35;25.91;732.6;23.53;
2024-03-25 00:23:35;25.9;732.62;23.54;
2024-03-25 00:24:35;25.9;732.53;23.54;
2024-03-25 00:25:35;25.9;732.49;23.53;
2024-03-25 00:26:35;25.92;732.45;23.53;
2024-03-25 00:27:36;25.9;732.39;23.54;
2024-03-25 00:28:36;25.9;732.36;23.54;
2024-03-25 00:29:36;25.89;732.37;23.55;
2024-03-25 00:30:36;25.9;732.4;23.55;
2024-03-25 00:31:36;25.89;732.4;23.54;
2024-03-25 00:32:36;25.92;732.42;23.53;
2024-03-25 00:33:36;25.9;732.46;23.55;
2024-03-25 00:34:36;25.9;732.47;23.56;
2024-03-25 00:35:37;25.92;732.48;23.54;
2024-03-25 00:36:37;25.91;732.44;23.54;
2024-03-25 00:37:38;25.91;732.46;23.54;
2024-03-25 00:38:38;25.89;732.49;23.57;
2024-03-25 00:39:38;25.89;732.53;23.56;
2024-03-25 00:40:37;25.91;732.49;23.54;
2024-03-25 00:41:37;25.9;732.48;23.55;
2024-03-25 00:42:37;25.91;732.46;23.54;
2024-03-25 00:43:38;25.91;732.42;23.54;
2024-03-25 00:44:37;25.92;732.41;23.54;
