Прибор: ;Hydra-L (03); ; Интервал: ;2024-03-25 00:00:00; / ;2024-03-25 23:45:00;
Date;weather_temp;weather_pressure;weather_humidity;
2024-03-25 00:00:31;26.95;732.38;20.91;
2024-03-25 00:01:31;26.95;732.39;20.89;
2024-03-25 00:02:32;26.97;732.4;20.88;
2024-03-25 00:03:32;26.98;732.39;20.88;
2024-03-25 00:04:32;26.97;732.37;20.87;
2024-03-25 00:05:32;26.98;732.37;20.88;
2024-03-25 00:06:32;26.99;732.34;20.87;
2024-03-25 00:07:32;26.98;732.34;20.87;
2024-03-25 00:08:32;26.98;732.33;20.88;
2024-03-25 00:09:32;26.97;732.33;20.88;
2024-03-25 00:10:32;26.98;732.34;20.87;
2024-03-25 00:11:33;26.97;732.32;20.87;
2024-03-25 00:12:33;26.97;732.31;20.88;
2024-03-25 00:13:33;26.98;732.3;20.88;
2024-03-25 00:14:33;26.99;732.31;20.89;
2024-03-25 00:15:32;26.97;732.31;20.89;
2024-03-25 00:16:32;26.95;732.32;20.92;
2024-03-25 00:17:32;26.97;732.35;20.91;
2024-03-25 00:18:32;26.97;732.37;20.89;
2024-03-25 00:19:33;26.98;732.4;20.88;
2024-03-25 00:20:33;26.98;732.38;20.89;
2024-03-25 00:21:33;26.98;732.37;20.89;
2024-03-25 00:22:33;26.96;732.34;20.91;
2024-03-25 00:23:33;26.97;732.36;20.91;
2024-03-25 00:24:33;26.96;732.28;20.92;
2024-03-25 00:25:33;26.98;732.26;20.91;
2024-03-25 00:26:33;26.98;732.2;20.88;
2024-03-25 00:27:33;26.97;732.13;20.91;
2024-03-25 00:28:33;26.98;732.14;20.89;
2024-03-25 00:29:33;26.98;732.17;20.89;
2024-03-25 00:30:33;26.98;732.14;20.89;
2024-03-25 00:31:33;26.96;732.16;20.92;
2024-03-25 00:32:33;26.96;732.23;20.93;
2024-03-25 00:33:33;26.96;732.23;20.92;
2024-03-25 00:34:34;26.96;732.24;20.92;
2024-03-25 00:35:34;26.96;732.24;20.93;
2024-03-25 00:36:34;26.96;732.23;20.92;
2024-03-25 00:37:34;26.96;732.23;20.93;
2024-03-25 00:38:34;26.97;732.28;20.91;
2024-03-25 00:39:34;26.97;732.28;20.92;
2024-03-25 00:40:34;26.97;732.27;20.93;
2024-03-25 00:41:34;26.97;732.25;20.92;
2024-03-25 00:42:34;26.98;732.24;20.92;
2024-03-25 00:43:34;26.96;732.19;20.93;
2024-03-25 00:44:34;26.96;732.17;20.92;
2024-03-25 00:45:34;26.95;732.12;20.93;
2024-03-25 00:46:34;26.97;732.14;20.93;
2024-03-25 00:47:34;26.96;732.11;20.94;
2024-03-25 00:48:34;26.95;732.1;20.94;
2024-03-25 00:49:34;26.95;732.08;20.94;
2024-03-25 00:50:34;26.96;732.09;20.94;
2024-03-25 00:51:34;26.97;732.11;20.93;
2024-03-25 00:52:34;26.96;732.14;20.95;
2024-03-25 00:53:34;26.96;732.13;20.94;
2024-03-25 00:54:35;26.96;732.16;20.94;
2024-03-25 00:55:35;26.97;732.16;20.94;
2024-03-25 00:56:35;26.96;732.18;20.94;
2024-03-25 00:57:35;26.97;732.2;20.93;
2024-03-25 00:58:35;26.96;732.21;20.93;
2024-03-25 00:59:35;26.96;732.16;20.95;
2024-03-25 01:00:35;26.95;732.19;20.95;
2024-03-25 01:01:37;26.97;732.16;20.93;
2024-03-25 01:02:36;26.96;732.14;20.94;
2024-03-25 01:03:35;26.98;732.08;20.93;
2024-03-25 01:04:35;26.97;732.05;20.93;
2024-03-25 01:05:36;26.96;732.04;20.94;
2024-03-25 01:06:36;26.96;732.07;20.95;
2024-03-25 01:07:35;26.96;732.05;20.95;
2024-03-25 01:08:35;26.95;732.06;20.95;
2024-03-25 01:09:35;26.97;732.07;20.94;
2024-03-25 01:10:36;26.97;732.07;20.93;
2024-03-25 01:11:35;26.97;732.04;20.94;
2024-03-25 01:12:36;26.96;732.05;20.95;
2024-03-25 01:13:36;26.95;732.07;20.96;
2024-03-25 01:14:36;26.98;732.04;20.94;
2024-03-25 01:15:36;26.97;732.01;20.93;
2024-03-25 01:16:36;26.97;732.02;20.94;
2024-03-25 01:17:36;26.98;732.05;20.93;
2024-03-25 01:18:36;26.98;732.11;20.94;
2024-03-25 01:19:36;26.97;732.15;20.94;
2024-03-25 01:20:36;26.96;732.15;20.96;
2024-03-25 01:21:36;26.96;732.13;20.95;
2024-03-25 01:22:36;26.96;732.18;20.96;
2024-03-25 01:23:36;26.96;732.22;20.96;
2024-03-25 01:24:36;26.96;732.23;20.96;
2024-03-25 01:25:37;26.98;732.26;20.94;
2024-03-25 01:26:36;26.96;732.27;20.95;
2024-03-25 01:27:37;26.95;732.28;20.98;
2024-03-25 01:28:36;26.96;732.31;20.98;
2024-03-25 01:29:36;26.95;732.32;20.98;
2024-03-25 01:30:37;26.96;732.29;20.98;
2024-03-25 01:31:37;26.97;732.3;20.95;
2024-03-25 01:32:37;26.97;732.33;20.95;
2024-03-25 01:33:37;26.97;732.34;20.96;
2024-03-25 01:34:37;26.97;732.34;20.95;
2024-03-25 01:35:37;26.97;732.34;20.95;
2024-03-25 01:36:37;26.98;732.39;20.94;
2024-03-25 01:37:37;26.96;732.38;20.96;
2024-03-25 01:38:37;26.97;732.37;20.96;
2024-03-25 01:39:37;26.98;732.38;20.95;
2024-03-25 01:40:37;26.99;732.36;20.94;
2024-03-25 01:41:37;26.99;732.35;20.94;
2024-03-25 01:42:37;26.98;732.36;20.94;
2024-03-25 01:43:38;26.97;732.36;20.95;
2024-03-25 01:44:37;26.98;732.33;20.94;
2024-03-25 01:45:38;26.99;732.35;20.93;
2024-03-25 01:46:38;26.98;732.34;20.94;
2024-03-25 01:47:37;26.98;732.33;20.94;
2024-03-25 01:48:37;26.98;732.4;20.95;
2024-03-25 01:49:38;26.98;732.46;20.94;
2024-03-25 01:50:38;26.96;732.46;20.96;
2024-03-25 01:51:38;26.97;732.44;20.95;
2024-03-25 01:52:38;27;732.43;20.94;
2024-03-25 01:53:38;26.98;732.44;20.95;
2024-03-25 01:54:39;26.99;732.4;20.94;
2024-03-25 01:55:38;26.99;732.41;20.94;
2024-03-25 01:56:38;26.98;732.43;20.95;
2024-03-25 01:57:38;26.98;732.43;20.96;
2024-03-25 01:58:38;26.98;732.43;20.95;
2024-03-25 01:59:38;26.99;732.43;20.94;
2024-03-25 02:00:38;26.99;732.41;20.95;
2024-03-25 02:01:38;26.98;732.42;20.95;
2024-03-25 02:02:39;26.97;732.36;20.96;
2024-03-25 02:03:39;26.97;732.39;20.98;
2024-03-25 02:04:40;26.97;732.41;20.98;
2024-03-25 02:05:39;26.97;732.44;20.98;
2024-03-25 02:06:39;26.98;732.42;20.96;
2024-03-25 02:07:39;26.98;732.4;20.95;
2024-03-25 02:08:39;26.99;732.43;20.95;
2024-03-25 02:09:39;26.99;732.39;20.95;
2024-03-25 02:10:39;26.98;732.36;20.95;
2024-03-25 02:11:39;26.97;732.38;20.96;
2024-03-25 02:12:39;26.98;732.39;20.96;
2024-03-25 02:13:45;26.98;732.41;20.96;
2024-03-25 02:14:40;26.98;732.4;20.98;
2024-03-25 02:15:39;26.98;732.41;20.95;
2024-03-25 02:16:39;26.98;732.49;20.96;
2024-03-25 02:17:40;26.99;732.48;20.96;
2024-03-25 02:18:40;27;732.47;20.95;
2024-03-25 02:19:40;26.98;732.43;20.96;
2024-03-25 02:20:40;26.99;732.44;20.95;
2024-03-25 02:21:40;26.99;732.44;20.94;
2024-03-25 02:22:40;27;732.42;20.95;
2024-03-25 02:23:40;26.98;732.42;20.95;
2024-03-25 02:24:40;26.99;732.44;20.96;
2024-03-25 02:25:40;26.97;732.48;20.98;
2024-03-25 02:26:40;26.98;732.51;20.98;
2024-03-25 02:27:40;26.98;732.49;20.96;
2024-03-25 02:28:40;26.97;732.5;20.99;
2024-03-25 02:29:40;26.97;732.54;20.98;
2024-03-25 02:30:40;26.96;732.58;20.99;
2024-03-25 02:31:40;26.97;732.63;20.99;
2024-03-25 02:32:40;26.99;732.64;20.98;
2024-03-25 02:33:41;26.99;732.63;20.97;
2024-03-25 02:34:41;26.98;732.67;20.98;
2024-03-25 02:35:41;26.98;732.68;20.98;
2024-03-25 02:36:41;26.99;732.74;20.98;
2024-03-25 02:37:41;26.99;732.79;20.98;
2024-03-25 02:38:41;26.99;732.8;20.99;
2024-03-25 02:39:41;26.99;732.82;20.98;
2024-03-25 02:40:41;26.98;732.9;20.99;
2024-03-25 02:41:41;26.99;732.93;20.99;
2024-03-25 02:42:41;26.98;732.93;20.98;
2024-03-25 02:43:41;26.98;733.02;20.99;
2024-03-25 02:44:41;26.98;733;20.99;
2024-03-25 02:45:41;26.97;733.03;21.01;
2024-03-25 02:46:42;26.96;733.04;21.01;
2024-03-25 02:47:42;26.96;733.04;21;
2024-03-25 02:48:41;26.95;733.08;21.01;
2024-03-25 02:49:43;26.96;733.08;21.02;
2024-03-25 02:50:41;26.97;733.17;21;
