Прибор: ;Hydra-L (03); ; Интервал: ;2024-09-05 00:00:00; / ;2024-09-05 23:45:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2024-09-05 00:00:31;29.82;758.14;35.3;
2024-09-05 00:01:31;29.86;758.12;35.24;
2024-09-05 00:02:31;29.88;758.15;35.2;
2024-09-05 00:03:32;29.9;758.13;35.17;
2024-09-05 00:04:31;29.91;758.15;35.12;
2024-09-05 00:05:32;29.91;758.14;35.16;
2024-09-05 00:06:30;29.91;758.16;35.14;
2024-09-05 00:07:32;29.9;758.17;35.16;
2024-09-05 00:08:32;29.9;758.15;35.14;
2024-09-05 00:09:32;29.89;758.13;35.16;
2024-09-05 00:10:32;29.89;758.15;35.14;
2024-09-05 00:11:32;29.89;758.16;35.13;
2024-09-05 00:12:32;29.91;758.16;35.12;
2024-09-05 00:13:32;29.93;758.15;35.06;
2024-09-05 00:14:32;29.94;758.17;35.05;
2024-09-05 00:15:31;29.96;758.21;35.02;
2024-09-05 00:16:32;29.98;758.19;35;
2024-09-05 00:17:33;29.96;758.2;34.97;
2024-09-05 00:18:32;29.95;758.19;35.01;
2024-09-05 00:19:32;29.94;758.21;35.03;
2024-09-05 00:20:33;29.93;758.2;35.04;
2024-09-05 00:21:33;29.93;758.21;35.01;
2024-09-05 00:22:32;29.92;758.22;35.05;
2024-09-05 00:23:33;29.93;758.23;35.03;
2024-09-05 00:24:34;29.91;758.22;35.07;
2024-09-05 00:25:32;29.9;758.22;35.06;
2024-09-05 00:26:33;29.89;758.22;35.08;
2024-09-05 00:27:33;29.89;758.2;35.06;
2024-09-05 00:28:33;29.88;758.23;35.08;
2024-09-05 00:29:33;29.87;758.25;35.11;
2024-09-05 00:30:32;29.87;758.23;35.08;
2024-09-05 00:31:33;29.87;758.24;35.11;
2024-09-05 00:32:33;29.86;758.25;35.11;
2024-09-05 00:33:33;29.84;758.24;35.12;
2024-09-05 00:34:33;29.84;758.24;35.12;
2024-09-05 00:35:33;29.83;758.25;35.12;
2024-09-05 00:36:33;29.83;758.26;35.13;
2024-09-05 00:37:32;29.82;758.28;35.16;
2024-09-05 00:38:34;29.83;758.29;35.14;
2024-09-05 00:39:34;29.84;758.3;35.12;
2024-09-05 00:40:34;29.86;758.31;35.07;
2024-09-05 00:41:34;29.88;758.31;35.04;
2024-09-05 00:42:32;29.9;758.29;35.01;
2024-09-05 00:43:35;29.91;758.32;34.99;
2024-09-05 00:44:33;29.91;758.32;34.98;
2024-09-05 00:45:34;29.9;758.34;34.99;
2024-09-05 00:46:32;29.9;758.34;34.97;
2024-09-05 00:47:35;29.9;758.3;34.93;
2024-09-05 00:48:34;29.91;758.32;34.93;
2024-09-05 00:49:35;29.93;758.33;34.93;
2024-09-05 00:50:35;29.9;758.32;34.94;
2024-09-05 00:51:35;29.89;758.33;34.96;
2024-09-05 00:52:35;29.89;758.31;34.94;
2024-09-05 00:53:33;29.89;758.32;34.93;
2024-09-05 00:54:35;29.9;758.32;34.92;
2024-09-05 00:55:35;29.9;758.31;34.92;
2024-09-05 00:56:34;29.91;758.32;34.91;
2024-09-05 00:57:36;29.91;758.33;34.86;
2024-09-05 00:58:35;29.91;758.33;34.88;
2024-09-05 00:59:34;29.94;758.36;34.87;
2024-09-05 01:00:35;29.91;758.31;34.86;
2024-09-05 01:01:35;29.9;758.35;34.89;
2024-09-05 01:02:36;29.89;758.37;34.91;
2024-09-05 01:03:36;29.89;758.39;34.91;
2024-09-05 01:04:36;29.86;758.35;34.96;
2024-09-05 01:05:36;29.84;758.35;34.98;
2024-09-05 01:06:36;29.85;758.33;34.95;
2024-09-05 01:07:36;29.84;758.36;34.96;
2024-09-05 01:08:36;29.82;758.37;34.99;
2024-09-05 01:09:36;29.82;758.36;34.97;
2024-09-05 01:10:37;29.81;758.35;35;
2024-09-05 01:11:36;29.81;758.39;35.01;
2024-09-05 01:12:35;29.79;758.34;35.03;
2024-09-05 01:13:36;29.8;758.4;35.04;
2024-09-05 01:14:37;29.78;758.37;35.03;
2024-09-05 01:15:37;29.77;758.38;35.05;
2024-09-05 01:16:37;29.77;758.37;35.06;
2024-09-05 01:17:37;29.79;758.4;35.02;
2024-09-05 01:18:37;29.8;758.39;34.98;
