Прибор: ;Hydra-L (04); ; Интервал: ;2024-03-25 00:00:00; / ;2024-03-25 23:45:00;
Date;weather_temp;weather_pressure;weather_humidity;
2024-03-25 00:00:42;25.44;732.42;23.55;
2024-03-25 00:01:41;25.45;732.45;23.5;
2024-03-25 00:02:42;25.43;732.44;23.55;
2024-03-25 00:03:42;25.42;732.41;23.57;
2024-03-25 00:04:41;25.45;732.43;23.51;
2024-03-25 00:05:42;25.44;732.41;23.55;
2024-03-25 00:06:42;25.48;732.39;23.48;
2024-03-25 00:07:43;25.44;732.38;23.56;
2024-03-25 00:08:43;25.38;732.35;23.64;
2024-03-25 00:09:43;25.44;732.38;23.52;
2024-03-25 00:10:42;25.44;732.35;23.54;
2024-03-25 00:11:43;25.42;732.37;23.57;
2024-03-25 00:12:43;25.49;732.35;23.46;
2024-03-25 00:13:44;25.45;732.31;23.5;
2024-03-25 00:14:48;25.44;732.31;23.52;
2024-03-25 00:15:44;25.45;732.34;23.51;
2024-03-25 00:16:44;25.44;732.37;23.55;
2024-03-25 00:17:44;25.42;732.4;23.58;
2024-03-25 00:18:44;25.45;732.39;23.51;
2024-03-25 00:19:42;25.39;732.39;23.59;
2024-03-25 00:20:43;25.42;732.39;23.53;
2024-03-25 00:21:42;25.46;732.4;23.5;
2024-03-25 00:22:42;25.43;732.37;23.55;
2024-03-25 00:23:42;25.42;732.38;23.59;
2024-03-25 00:24:43;25.48;732.34;23.46;
2024-03-25 00:25:43;25.5;732.3;23.44;
2024-03-25 00:26:43;25.48;732.24;23.47;
2024-03-25 00:27:43;25.44;732.21;23.53;
2024-03-25 00:28:43;25.42;732.21;23.55;
2024-03-25 00:29:43;25.41;732.18;23.6;
2024-03-25 00:30:43;25.44;732.2;23.55;
2024-03-25 00:31:43;25.46;732.18;23.5;
2024-03-25 00:32:44;25.5;732.23;23.43;
2024-03-25 00:33:43;25.49;732.29;23.48;
2024-03-25 00:34:43;25.44;732.27;23.52;
2024-03-25 00:35:43;25.49;732.29;23.46;
2024-03-25 00:36:43;25.43;732.25;23.58;
2024-03-25 00:37:43;25.41;732.27;23.59;
2024-03-25 00:38:43;25.47;732.31;23.47;
2024-03-25 00:39:45;25.47;732.3;23.51;
2024-03-25 00:40:43;25.46;732.29;23.51;
2024-03-25 00:41:44;25.43;732.3;23.57;
2024-03-25 00:42:44;25.4;732.27;23.61;
2024-03-25 00:43:44;25.37;732.21;23.66;
2024-03-25 00:44:43;25.41;732.22;23.56;
2024-03-25 00:45:44;25.42;732.18;23.57;
2024-03-25 00:46:44;25.48;732.17;23.47;
2024-03-25 00:47:44;25.44;732.15;23.56;
2024-03-25 00:48:44;25.49;732.11;23.47;
2024-03-25 00:49:44;25.5;732.11;23.43;
2024-03-25 00:50:44;25.43;732.14;23.56;
2024-03-25 00:51:44;25.49;732.18;23.49;
2024-03-25 00:52:44;25.48;732.17;23.53;
2024-03-25 00:53:44;25.48;732.16;23.51;
2024-03-25 00:54:44;25.48;732.2;23.5;
2024-03-25 00:55:44;25.49;732.2;23.49;
2024-03-25 00:56:44;25.52;732.23;23.42;
2024-03-25 00:57:44;25.49;732.27;23.5;
2024-03-25 00:58:44;25.5;732.24;23.48;
2024-03-25 00:59:45;25.45;732.21;23.51;
2024-03-25 01:00:45;25.51;732.21;23.43;
2024-03-25 01:01:45;25.51;732.21;23.43;
2024-03-25 01:02:45;25.48;732.16;23.48;
2024-03-25 01:03:45;25.51;732.14;23.43;
2024-03-25 01:04:45;25.48;732.11;23.5;
2024-03-25 01:05:45;25.51;732.11;23.44;
2024-03-25 01:06:45;25.54;732.11;23.4;
2024-03-25 01:07:45;25.52;732.09;23.46;
2024-03-25 01:08:45;25.5;732.11;23.46;
2024-03-25 01:09:45;25.5;732.1;23.46;
2024-03-25 01:10:46;25.52;732.09;23.41;
2024-03-25 01:11:47;25.52;732.09;23.45;
2024-03-25 01:12:46;25.54;732.1;23.45;
2024-03-25 01:13:46;25.49;732.09;23.47;
2024-03-25 01:14:47;25.51;732.06;23.43;
2024-03-25 01:15:47;25.54;732.03;23.39;
2024-03-25 01:16:47;25.58;732.07;23.37;
2024-03-25 01:17:47;25.56;732.1;23.39;
2024-03-25 01:18:47;25.53;732.18;23.41;
2024-03-25 01:19:47;25.52;732.19;23.43;
2024-03-25 01:20:47;25.53;732.19;23.43;
2024-03-25 01:21:48;25.49;732.22;23.49;
2024-03-25 01:22:47;25.54;732.24;23.42;
2024-03-25 01:23:47;25.48;732.25;23.5;
2024-03-25 01:24:47;25.51;732.3;23.48;
2024-03-25 01:25:47;25.53;732.34;23.43;
2024-03-25 01:26:47;25.51;732.34;23.44;
2024-03-25 01:27:48;25.55;732.32;23.4;
2024-03-25 01:28:49;25.56;732.36;23.39;
2024-03-25 01:29:49;25.52;732.35;23.43;
2024-03-25 01:30:47;25.55;732.35;23.39;
2024-03-25 01:31:49;25.55;732.36;23.4;
2024-03-25 01:32:49;25.55;732.36;23.4;
2024-03-25 01:33:48;25.53;732.36;23.43;
2024-03-25 01:34:48;25.51;732.37;23.47;
2024-03-25 01:35:49;25.54;732.39;23.42;
2024-03-25 01:36:49;25.56;732.41;23.42;
2024-03-25 01:37:49;25.53;732.44;23.45;
2024-03-25 01:38:48;25.52;732.39;23.47;
2024-03-25 01:39:49;25.52;732.41;23.47;
2024-03-25 01:40:50;25.54;732.4;23.45;
2024-03-25 01:41:49;25.56;732.42;23.41;
2024-03-25 01:42:48;25.57;732.42;23.41;
2024-03-25 01:43:49;25.56;732.42;23.4;
2024-03-25 01:44:50;25.56;732.4;23.42;
2024-03-25 01:45:49;25.52;732.43;23.48;
2024-03-25 01:46:50;25.56;732.4;23.4;
2024-03-25 01:47:49;25.57;732.42;23.4;
2024-03-25 01:48:50;25.56;732.46;23.41;
2024-03-25 01:49:50;25.56;732.49;23.45;
2024-03-25 01:50:50;25.57;732.51;23.39;
2024-03-25 01:51:50;25.53;732.5;23.49;
2024-03-25 01:52:49;25.5;732.48;23.5;
2024-03-25 01:53:49;25.54;732.45;23.45;
2024-03-25 01:54:51;25.56;732.44;23.4;
2024-03-25 01:55:51;25.52;732.43;23.46;
2024-03-25 01:56:51;25.54;732.48;23.45;
2024-03-25 01:57:51;25.56;732.47;23.44;
2024-03-25 01:58:53;25.51;732.46;23.48;
2024-03-25 01:59:50;25.54;732.48;23.45;
2024-03-25 02:00:50;25.49;732.46;23.54;
2024-03-25 02:01:50;25.51;732.44;23.48;
2024-03-25 02:02:51;25.48;732.4;23.53;
2024-03-25 02:03:50;25.51;732.43;23.53;
2024-03-25 02:04:50;25.51;732.42;23.48;
2024-03-25 02:05:51;25.49;732.44;23.54;
2024-03-25 02:06:50;25.52;732.47;23.45;
2024-03-25 02:07:50;25.52;732.46;23.47;
2024-03-25 02:08:51;25.53;732.45;23.47;
2024-03-25 02:09:52;25.54;732.42;23.43;
2024-03-25 02:10:50;25.56;732.42;23.41;
2024-03-25 02:11:51;25.58;732.42;23.39;
2024-03-25 02:12:51;25.55;732.41;23.42;
2024-03-25 02:13:52;25.54;732.45;23.45;
2024-03-25 02:14:52;25.58;732.45;23.39;
2024-03-25 02:15:51;25.56;732.42;23.42;
2024-03-25 02:16:52;25.54;732.46;23.45;
2024-03-25 02:17:52;25.58;732.48;23.39;
2024-03-25 02:18:51;25.57;732.5;23.39;
