Прибор: ;Hydra-L (04); ; Интервал: ;2024-09-05 00:00:00; / ;2024-09-05 23:45:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2024-09-05 00:00:47;30.38;758.14;38.21;
2024-09-05 00:01:47;30.39;758.11;38.2;
2024-09-05 00:02:47;30.4;758.12;38.21;
2024-09-05 00:03:48;30.41;758.15;38.19;
2024-09-05 00:04:48;30.41;758.13;38.21;
2024-09-05 00:05:47;30.41;758.13;38.19;
2024-09-05 00:06:45;30.39;758.14;38.19;
2024-09-05 00:07:47;30.38;758.14;38.18;
2024-09-05 00:08:48;30.37;758.16;38.18;
2024-09-05 00:09:47;30.37;758.13;38.18;
2024-09-05 00:10:48;30.35;758.12;38.18;
2024-09-05 00:11:48;30.34;758.15;38.18;
2024-09-05 00:12:48;30.34;758.17;38.18;
2024-09-05 00:13:48;30.33;758.14;38.18;
2024-09-05 00:14:48;30.32;758.19;38.18;
2024-09-05 00:15:46;30.31;758.19;38.17;
2024-09-05 00:16:48;30.3;758.2;38.17;
2024-09-05 00:17:49;30.3;758.21;38.17;
2024-09-05 00:18:48;30.3;758.21;38.18;
2024-09-05 00:19:49;30.28;758.18;38.18;
2024-09-05 00:20:49;30.29;758.22;38.17;
2024-09-05 00:21:49;30.27;758.21;38.17;
2024-09-05 00:22:49;30.27;758.22;38.17;
2024-09-05 00:23:48;30.26;758.24;38.17;
2024-09-05 00:24:49;30.25;758.23;38.17;
2024-09-05 00:25:48;30.27;758.23;38.17;
2024-09-05 00:26:49;30.26;758.23;38.17;
2024-09-05 00:27:49;30.27;758.22;38.17;
2024-09-05 00:28:49;30.28;758.22;38.16;
2024-09-05 00:29:49;30.27;758.23;38.17;
2024-09-05 00:30:48;30.27;758.24;38.16;
2024-09-05 00:31:49;30.26;758.24;38.17;
2024-09-05 00:32:48;30.26;758.27;38.16;
2024-09-05 00:33:49;30.26;758.25;38.16;
2024-09-05 00:34:49;30.26;758.27;38.16;
2024-09-05 00:35:49;30.26;758.26;38.16;
2024-09-05 00:36:49;30.26;758.3;38.16;
2024-09-05 00:37:47;30.25;758.3;38.15;
2024-09-05 00:38:50;30.25;758.29;38.15;
2024-09-05 00:39:48;30.25;758.29;38.15;
2024-09-05 00:40:49;30.25;758.32;38.15;
2024-09-05 00:41:49;30.23;758.29;38.14;
2024-09-05 00:42:48;30.23;758.29;38.14;
2024-09-05 00:43:47;30.23;758.32;38.16;
2024-09-05 00:44:49;30.23;758.31;38.16;
2024-09-05 00:45:50;30.22;758.29;38.14;
2024-09-05 00:46:48;30.21;758.33;38.14;
2024-09-05 00:47:49;30.22;758.34;38.16;
2024-09-05 00:48:49;30.21;758.33;38.14;
2024-09-05 00:49:50;30.2;758.32;38.15;
2024-09-05 00:50:51;30.2;758.34;38.15;
2024-09-05 00:51:51;30.21;758.33;38.14;
2024-09-05 00:52:51;30.24;758.34;38.15;
2024-09-05 00:53:49;30.26;758.32;38.13;
2024-09-05 00:54:49;30.31;758.34;38.13;
2024-09-05 00:55:51;30.3;758.34;38.13;
2024-09-05 00:56:51;30.32;758.34;38.1;
2024-09-05 00:57:50;30.32;758.34;38.1;
2024-09-05 00:58:50;30.31;758.36;38.1;
2024-09-05 00:59:49;30.31;758.36;38.09;
2024-09-05 01:00:51;30.32;758.34;38.09;
2024-09-05 01:01:51;30.31;758.35;38.08;
2024-09-05 01:02:51;30.3;758.38;38.08;
2024-09-05 01:03:52;30.29;758.36;38.08;
2024-09-05 01:04:51;30.29;758.36;38.08;
2024-09-05 01:05:51;30.27;758.36;38.08;
2024-09-05 01:06:52;30.27;758.39;38.08;
2024-09-05 01:07:51;30.25;758.36;38.08;
2024-09-05 01:08:52;30.24;758.38;38.07;
2024-09-05 01:09:52;30.25;758.39;38.08;
2024-09-05 01:10:49;30.24;758.42;38.06;
2024-09-05 01:11:52;30.22;758.37;38.07;
2024-09-05 01:12:51;30.22;758.41;38.07;
2024-09-05 01:13:51;30.21;758.42;38.07;
2024-09-05 01:14:51;30.22;758.42;38.06;
2024-09-05 01:15:51;30.23;758.41;38.06;
2024-09-05 01:16:52;30.23;758.4;38.05;
2024-09-05 01:17:53;30.25;758.4;38.05;
2024-09-05 01:18:53;30.25;758.42;38.05;
2024-09-05 01:19:53;30.25;758.4;38.05;
2024-09-05 01:20:53;30.26;758.42;38.04;
2024-09-05 01:21:52;30.27;758.42;38.04;
2024-09-05 01:22:53;30.26;758.43;38.03;
2024-09-05 01:23:50;30.26;758.47;38.03;
2024-09-05 01:24:52;30.26;758.47;38.03;
2024-09-05 01:25:53;30.25;758.44;38.03;
2024-09-05 01:26:53;30.27;758.44;38.02;
2024-09-05 01:27:53;30.27;758.49;38.02;
2024-09-05 01:28:53;30.26;758.48;38;
2024-09-05 01:29:51;30.26;758.5;38;
2024-09-05 01:30:54;30.27;758.49;38.01;
2024-09-05 01:31:53;30.28;758.48;38;
2024-09-05 01:32:53;30.27;758.49;37.99;
2024-09-05 01:33:53;30.26;758.5;37.99;
2024-09-05 01:34:53;30.27;758.49;37.99;
2024-09-05 01:35:53;30.26;758.47;37.98;
2024-09-05 01:36:53;30.26;758.49;37.98;
2024-09-05 01:37:53;30.25;758.48;37.99;
2024-09-05 01:38:54;30.23;758.49;37.98;
2024-09-05 01:39:54;30.23;758.49;37.98;
2024-09-05 01:40:54;30.22;758.5;37.98;
2024-09-05 01:41:52;30.22;758.49;37.98;
2024-09-05 01:42:52;30.21;758.48;37.98;
2024-09-05 01:43:51;30.21;758.49;37.98;
2024-09-05 01:44:53;30.21;758.51;37.98;
2024-09-05 01:45:54;30.21;758.51;37.98;
2024-09-05 01:46:54;30.22;758.52;37.97;
2024-09-05 01:47:54;30.22;758.53;37.98;
2024-09-05 01:48:54;30.21;758.54;37.97;
2024-09-05 01:49:53;30.21;758.54;37.97;
2024-09-05 01:50:54;30.23;758.52;37.96;
2024-09-05 01:51:54;30.21;758.54;37.95;
2024-09-05 01:52:55;30.21;758.55;37.95;
2024-09-05 01:53:55;30.2;758.53;37.95;
2024-09-05 01:54:54;30.22;758.53;37.96;
2024-09-05 01:55:52;30.23;758.54;37.94;
