Прибор: ;Опорный барометр (01); ; Интервал: ;2024-08-24 00:00:00; / ;2024-08-24 23:45:00;
Date;weather_temp_mediana;weather_temp;weather_pressure_mediana;weather_pressure;RTC_time;RTC_date;BMP280_8_temp;BMP280_8_pressure;BMP280_7_temp;BMP280_7_pressure;BMP280_6_temp;BMP280_6_pressure;BMP280_5_temp;BMP280_5_pressure;BMP280_4_temp;BMP280_4_pressure;BMP280_3_temp;BMP280_3_pressure;BMP280_2_temp;BMP280_2_pressure;BMP280_1_temp;BMP280_1_pressure;BMP280_0_temp;BMP280_0_pressure;
2024-08-24 00:00:55;28.31;28.37;748.39;748.47;23:59:01;2024-08-23;28.76;749.43;28.63;748.86;28.4;748.75;28.32;748.53;28.31;748.39;28.29;748.32;28.28;748.18;28.21;748.08;28.17;747.69;
2024-08-24 00:01:54;28.31;28.38;748.43;748.48;00:00:00;2024-08-24;28.76;749.42;28.64;748.87;28.41;748.79;28.32;748.55;28.31;748.43;28.28;748.32;28.27;748.18;28.22;748.08;28.17;747.67;
2024-08-24 00:02:55;28.31;28.37;748.41;748.46;00:01:01;2024-08-24;28.76;749.4;28.63;748.87;28.39;748.75;28.32;748.52;28.31;748.41;28.28;748.32;28.28;748.19;28.21;748.03;28.18;747.65;
2024-08-24 00:03:54;28.3;28.37;748.39;748.46;00:02:00;2024-08-24;28.75;749.4;28.63;748.81;28.39;748.75;28.31;748.51;28.3;748.39;28.27;748.32;28.27;748.2;28.21;748.07;28.17;747.66;
2024-08-24 00:04:55;28.3;28.37;748.37;748.45;00:03:01;2024-08-24;28.75;749.37;28.63;748.85;28.41;748.73;28.31;748.52;28.3;748.37;28.29;748.33;28.28;748.18;28.22;748.06;28.17;747.65;
2024-08-24 00:05:54;28.29;28.37;748.37;748.44;00:04:01;2024-08-24;28.75;749.4;28.63;748.84;28.38;748.75;28.32;748.52;28.29;748.37;28.28;748.28;28.27;748.15;28.21;748.04;28.17;747.63;
2024-08-24 00:06:55;28.29;28.37;748.39;748.44;00:05:02;2024-08-24;28.75;749.39;28.63;748.85;28.39;748.72;28.31;748.48;28.29;748.39;28.28;748.29;28.27;748.17;28.21;748.05;28.16;747.65;
2024-08-24 00:07:54;28.29;28.37;748.36;748.44;00:06:01;2024-08-24;28.75;749.39;28.62;748.85;28.4;748.72;28.32;748.5;28.29;748.36;28.28;748.28;28.27;748.15;28.21;748.05;28.16;747.65;
2024-08-24 00:08:53;28.29;28.37;748.39;748.44;00:07:00;2024-08-24;28.75;749.39;28.63;748.84;28.39;748.73;28.31;748.46;28.29;748.39;28.28;748.29;28.27;748.17;28.21;748.06;28.17;747.66;
2024-08-24 00:09:54;28.28;28.36;748.4;748.44;00:08:01;2024-08-24;28.76;749.4;28.62;748.82;28.39;748.76;28.32;748.46;28.28;748.4;28.27;748.29;28.27;748.18;28.21;748.04;28.16;747.65;
