Прибор: ;Опорный барометр (01); ; Интервал: ;2024-06-20 00:00:00; / ;2024-06-20 23:45:00;
Date;weather_temp_mediana;weather_temp;weather_pressure_mediana;weather_pressure;RTC_time;RTC_date;BMP280_8_temp;BMP280_8_pressure;BMP280_7_temp;BMP280_7_pressure;BMP280_6_temp;BMP280_6_pressure;BMP280_5_temp;BMP280_5_pressure;BMP280_4_temp;BMP280_4_pressure;BMP280_3_temp;BMP280_3_pressure;BMP280_2_temp;BMP280_2_pressure;BMP280_1_temp;BMP280_1_pressure;BMP280_0_temp;BMP280_0_pressure;
2024-06-20 00:00:51;29.11;29.16;744.04;744.13;23:59:01;2024-06-19;29.49;745.08;29.37;744.53;29.23;744.44;29.17;744.2;29.11;744.04;29.08;744.01;29.01;743.85;28.98;743.72;28.96;743.34;
2024-06-20 00:01:50;29.1;29.15;744.08;744.15;00:00:00;2024-06-20;29.48;745.11;29.37;744.52;29.22;744.46;29.17;744.21;29.1;744.08;29.08;743.98;29.01;743.89;28.98;743.74;28.96;743.36;
2024-06-20 00:02:51;29.1;29.15;744.08;744.14;00:01:01;2024-06-20;29.49;745.12;29.37;744.53;29.23;744.46;29.17;744.19;29.1;744.08;29.08;744.01;29.01;743.85;28.98;743.74;28.96;743.3;
2024-06-20 00:03:50;29.1;29.15;744.05;744.13;00:02:00;2024-06-20;29.48;745.1;29.37;744.51;29.22;744.44;29.17;744.18;29.1;744.05;29.08;743.99;29.01;743.84;28.98;743.71;28.96;743.33;
2024-06-20 00:04:51;29.1;29.15;744.05;744.12;00:03:01;2024-06-20;29.48;745.08;29.37;744.5;29.22;744.45;29.17;744.17;29.1;744.05;29.08;743.97;29;743.85;28.98;743.7;28.96;743.31;
2024-06-20 00:05:50;29.11;29.15;744.04;744.13;00:04:00;2024-06-20;29.49;745.09;29.37;744.5;29.22;744.45;29.17;744.17;29.11;744.04;29.09;744.01;29;743.83;28.98;743.74;28.95;743.33;
2024-06-20 00:06:51;29.1;29.15;744.03;744.11;00:05:01;2024-06-20;29.48;745.05;29.37;744.49;29.22;744.4;29.16;744.16;29.1;744.03;29.08;743.97;29.01;743.85;28.97;743.71;28.96;743.33;
2024-06-20 00:07:50;29.1;29.15;744.03;744.1;00:06:00;2024-06-20;29.48;745.07;29.37;744.48;29.21;744.43;29.16;744.15;29.1;744.03;29.08;743.94;29.01;743.82;28.98;743.69;28.96;743.29;
2024-06-20 00:08:51;29.1;29.15;744;744.09;00:07:01;2024-06-20;29.48;745.07;29.37;744.48;29.21;744.41;29.16;744.16;29.1;744;29.08;743.94;29.01;743.81;28.98;743.65;28.95;743.3;
2024-06-20 00:09:50;29.1;29.15;743.96;744.04;00:08:00;2024-06-20;29.49;745.02;29.37;744.43;29.21;744.33;29.17;744.09;29.1;743.96;29.07;743.9;29;743.77;28.98;743.64;28.95;743.25;
2024-06-20 00:10:51;29.1;29.15;743.97;744.04;00:09:01;2024-06-20;29.48;745;29.36;744.44;29.22;744.36;29.17;744.12;29.1;743.97;29.08;743.88;29;743.75;28.98;743.61;28.95;743.26;
2024-06-20 00:11:50;29.09;29.14;743.97;744.01;00:10:00;2024-06-20;29.48;744.98;29.37;744.4;29.21;744.32;29.16;744.06;29.09;743.97;29.06;743.85;29;743.72;28.97;743.59;28.95;743.21;
2024-06-20 00:12:51;29.1;29.14;743.93;743.99;00:11:01;2024-06-20;29.47;744.95;29.36;744.37;29.21;744.28;29.16;744;29.1;743.93;29.05;743.87;29;743.74;28.97;743.58;28.95;743.17;
2024-06-20 00:13:50;29.1;29.14;743.86;743.95;00:12:00;2024-06-20;29.48;744.91;29.36;744.35;29.22;744.24;29.16;744;29.1;743.86;29.07;743.83;29;743.68;28.97;743.53;28.94;743.15;
2024-06-20 00:14:51;29.09;29.14;743.88;743.94;00:13:02;2024-06-20;29.48;744.9;29.37;744.33;29.21;744.22;29.16;743.99;29.09;743.88;29.07;743.77;28.99;743.69;28.98;743.51;28.94;743.13;
2024-06-20 00:15:50;29.09;29.14;743.89;743.93;00:14:00;2024-06-20;29.48;744.9;29.36;744.33;29.22;744.22;29.16;743.99;29.09;743.89;29.07;743.78;29;743.64;28.97;743.53;28.94;743.11;
2024-06-20 00:16:51;29.09;29.14;743.87;743.94;00:15:02;2024-06-20;29.48;744.88;29.36;744.36;29.2;744.23;29.16;744;29.09;743.87;29.07;743.78;29;743.65;28.97;743.52;28.95;743.14;
2024-06-20 00:17:50;29.09;29.14;743.86;743.94;00:16:00;2024-06-20;29.47;744.88;29.36;744.35;29.21;744.27;29.15;743.98;29.09;743.86;29.07;743.77;29;743.65;28.97;743.52;28.95;743.14;
2024-06-20 00:18:51;29.09;29.14;743.86;743.94;00:17:01;2024-06-20;29.47;744.9;29.36;744.33;29.21;744.25;29.16;743.98;29.09;743.86;29.06;743.81;29;743.66;28.97;743.5;28.94;743.14;
2024-06-20 00:19:50;29.09;29.14;743.86;743.92;00:18:00;2024-06-20;29.47;744.88;29.36;744.32;29.2;744.22;29.16;743.97;29.09;743.86;29.06;743.77;28.99;743.62;28.97;743.5;28.94;743.13;
2024-06-20 00:20:51;29.09;29.14;743.85;743.94;00:19:01;2024-06-20;29.47;744.92;29.35;744.35;29.21;744.26;29.16;744;29.09;743.85;29.07;743.77;29.01;743.65;28.97;743.5;28.94;743.13;
2024-06-20 00:21:50;29.08;29.14;743.86;743.94;00:20:00;2024-06-20;29.47;744.91;29.36;744.36;29.21;744.23;29.16;743.99;29.08;743.86;29.06;743.77;28.99;743.66;28.96;743.55;28.94;743.12;
2024-06-20 00:22:51;29.09;29.14;743.91;743.96;00:21:01;2024-06-20;29.47;744.93;29.36;744.36;29.22;744.26;29.15;744;29.09;743.91;29.08;743.83;28.99;743.67;28.97;743.57;28.94;743.15;
2024-06-20 00:23:50;29.08;29.14;743.91;743.98;00:22:00;2024-06-20;29.47;744.95;29.36;744.38;29.22;744.29;29.15;744.03;29.08;743.91;29.06;743.82;28.99;743.69;28.97;743.59;28.94;743.15;
2024-06-20 00:24:52;29.09;29.14;743.91;743.97;00:23:02;2024-06-20;29.47;744.95;29.36;744.34;29.22;744.28;29.16;744.04;29.09;743.91;29.07;743.82;28.99;743.68;28.97;743.56;28.94;743.14;
2024-06-20 00:25:50;29.09;29.14;743.91;743.98;00:24:01;2024-06-20;29.47;744.93;29.36;744.39;29.19;744.28;29.15;744;29.09;743.91;29.06;743.85;28.99;743.71;28.97;743.54;28.94;743.18;
2024-06-20 00:26:49;29.08;29.14;743.89;743.97;00:25:00;2024-06-20;29.48;744.92;29.36;744.37;29.21;744.3;29.15;744.02;29.08;743.89;29.06;743.81;29;743.68;28.97;743.57;28.94;743.15;
2024-06-20 00:27:50;29.09;29.14;743.92;743.97;00:26:01;2024-06-20;29.47;744.93;29.36;744.37;29.21;744.27;29.15;744.03;29.09;743.92;29.06;743.81;28.99;743.7;28.97;743.54;28.94;743.16;
2024-06-20 00:28:49;29.08;29.14;743.92;743.97;00:27:00;2024-06-20;29.47;744.92;29.36;744.37;29.2;744.28;29.15;744;29.08;743.92;29.06;743.84;28.99;743.68;28.97;743.54;28.94;743.15;
2024-06-20 00:29:51;29.09;29.14;743.91;743.97;00:28:01;2024-06-20;29.47;744.93;29.36;744.37;29.21;744.28;29.16;744.02;29.09;743.91;29.07;743.83;28.99;743.69;28.97;743.52;28.94;743.17;
2024-06-20 00:30:50;29.08;29.14;743.89;743.95;00:29:00;2024-06-20;29.47;744.92;29.35;744.37;29.21;744.25;29.15;744;29.08;743.89;29.06;743.79;29;743.69;28.96;743.53;28.94;743.15;
2024-06-20 00:31:51;29.08;29.13;743.88;743.93;00:30:01;2024-06-20;29.47;744.88;29.36;744.34;29.2;744.23;29.15;743.99;29.08;743.88;29.06;743.79;28.99;743.64;28.97;743.48;28.93;743.13;
2024-06-20 00:32:50;29.08;29.13;743.87;743.93;00:31:00;2024-06-20;29.47;744.89;29.35;744.32;29.2;744.24;29.16;743.98;29.08;743.87;29.05;743.79;28.99;743.65;28.96;743.51;28.93;743.09;
2024-06-20 00:33:51;29.08;29.13;743.83;743.91;00:32:01;2024-06-20;29.46;744.87;29.36;744.3;29.21;744.21;29.15;743.97;29.08;743.83;29.05;743.76;28.99;743.64;28.96;743.52;28.94;743.1;
2024-06-20 00:34:50;29.08;29.13;743.85;743.91;00:33:01;2024-06-20;29.46;744.88;29.35;744.3;29.2;744.22;29.15;743.98;29.08;743.85;29.06;743.75;28.98;743.62;28.97;743.52;28.93;743.08;
2024-06-20 00:35:49;29.08;29.13;743.82;743.89;00:34:00;2024-06-20;29.46;744.88;29.35;744.27;29.21;744.21;29.15;743.94;29.08;743.82;29.06;743.75;28.98;743.62;28.96;743.47;28.93;743.05;
