Прибор: ;Опорный барометр (01); ; Интервал: ;2024-09-05 00:00:00; / ;2024-09-05 23:45:00;
Date;weather_temp_mediana;weather_temp;weather_pressure_mediana;weather_pressure;RTC_time;RTC_date;BMP280_8_temp;BMP280_8_pressure;BMP280_7_temp;BMP280_7_pressure;BMP280_6_temp;BMP280_6_pressure;BMP280_5_temp;BMP280_5_pressure;BMP280_4_temp;BMP280_4_pressure;BMP280_3_temp;BMP280_3_pressure;BMP280_2_temp;BMP280_2_pressure;BMP280_1_temp;BMP280_1_pressure;BMP280_0_temp;BMP280_0_pressure;
2024-09-05 00:00:01;30.22;30.3;759.61;759.62;23:58:01;2024-09-04;30.65;760.57;30.57;759.98;30.35;759.94;30.26;759.64;30.22;759.61;30.22;759.49;30.19;759.35;30.15;759.18;30.11;758.85;
2024-09-05 00:00:58;30.22;30.3;759.6;759.62;23:59:01;2024-09-04;30.64;760.58;30.56;759.97;30.34;759.9;30.26;759.65;30.22;759.6;30.22;759.49;30.19;759.35;30.15;759.18;30.11;758.85;
2024-09-05 00:02:00;30.22;30.3;759.56;759.62;00:00:01;2024-09-05;30.64;760.56;30.57;759.99;30.34;759.91;30.26;759.67;30.22;759.56;30.22;759.49;30.19;759.36;30.15;759.22;30.12;758.83;
2024-09-05 00:02:58;30.22;30.3;759.6;759.62;00:01:01;2024-09-05;30.63;760.58;30.57;760;30.34;759.93;30.26;759.65;30.22;759.6;30.22;759.48;30.19;759.34;30.15;759.2;30.12;758.84;
2024-09-05 00:04:00;30.22;30.3;759.57;759.63;00:02:01;2024-09-05;30.64;760.56;30.58;760.02;30.34;759.95;30.25;759.66;30.22;759.57;30.22;759.48;30.19;759.37;30.14;759.2;30.11;758.85;
2024-09-05 00:04:58;30.22;30.3;759.59;759.63;00:03:01;2024-09-05;30.64;760.58;30.56;760;30.34;759.93;30.26;759.65;30.22;759.59;30.21;759.49;30.18;759.34;30.15;759.19;30.12;758.83;
2024-09-05 00:05:59;30.22;30.3;759.57;759.63;00:04:01;2024-09-05;30.64;760.57;30.56;759.99;30.34;759.95;30.25;759.68;30.22;759.57;30.22;759.53;30.19;759.36;30.14;759.19;30.11;758.84;
2024-09-05 00:06:58;30.22;30.3;759.6;759.63;00:05:00;2024-09-05;30.64;760.59;30.56;759.97;30.33;759.93;30.26;759.65;30.22;759.6;30.22;759.51;30.18;759.33;30.14;759.2;30.11;758.86;
2024-09-05 00:08:00;30.21;30.29;759.6;759.63;00:06:01;2024-09-05;30.63;760.6;30.56;759.99;30.34;759.9;30.25;759.66;30.21;759.6;30.21;759.51;30.18;759.35;30.14;759.22;30.11;758.84;
2024-09-05 00:08:59;30.22;30.29;759.6;759.63;00:07:01;2024-09-05;30.64;760.57;30.56;760;30.33;759.94;30.25;759.69;30.22;759.6;30.22;759.48;30.18;759.37;30.14;759.21;30.11;758.83;
2024-09-05 00:10:01;30.21;30.29;759.58;759.63;00:08:01;2024-09-05;30.63;760.59;30.56;760.01;30.33;759.94;30.25;759.67;30.21;759.58;30.21;759.48;30.18;759.36;30.14;759.2;30.11;758.85;
2024-09-05 00:10:58;30.22;30.29;759.6;759.63;00:09:00;2024-09-05;30.64;760.59;30.56;760.01;30.33;759.91;30.25;759.67;30.22;759.6;30.21;759.48;30.18;759.35;30.14;759.2;30.11;758.83;
2024-09-05 00:11:58;30.21;30.29;759.59;759.63;00:10:01;2024-09-05;30.63;760.63;30.56;760.03;30.33;759.93;30.25;759.65;30.21;759.59;30.2;759.49;30.18;759.32;30.14;759.2;30.11;758.88;
2024-09-05 00:12:58;30.21;30.29;759.61;759.64;00:11:01;2024-09-05;30.63;760.6;30.56;760.02;30.33;759.9;30.25;759.66;30.21;759.61;30.21;759.49;30.18;759.36;30.14;759.21;30.11;758.87;
2024-09-05 00:13:59;30.21;30.29;759.59;759.64;00:12:01;2024-09-05;30.63;760.6;30.55;760.01;30.33;759.99;30.25;759.64;30.21;759.59;30.21;759.48;30.17;759.37;30.14;759.23;30.1;758.87;
2024-09-05 00:14:58;30.21;30.29;759.62;759.64;00:13:00;2024-09-05;30.63;760.6;30.55;760.01;30.33;759.95;30.24;759.66;30.21;759.62;30.21;759.49;30.17;759.38;30.14;759.22;30.1;758.86;
2024-09-05 00:15:58;30.21;30.29;759.6;759.65;00:14:01;2024-09-05;30.62;760.59;30.55;760.03;30.33;759.95;30.24;759.68;30.21;759.6;30.21;759.51;30.18;759.37;30.13;759.25;30.1;758.86;
2024-09-05 00:17:00;30.21;30.29;759.65;759.67;00:15:01;2024-09-05;30.63;760.63;30.56;760.06;30.32;759.97;30.24;759.71;30.21;759.65;30.21;759.5;30.17;759.39;30.13;759.25;30.1;758.9;
